id,kanji,meaning,reading,tag
3683,実力,"(real) ability, true strength, merit, efficiency, competency",じつりょく,JLPT N2
3684,実例,"example, instance",じつれい,JLPT N2
3685,失恋,"broken heart, unrequited love",しつれん,JLPT N2
3686,指定,"designation, specification, assignment",してい,JLPT N2
3687,私鉄,private railway,してつ,JLPT N2
3688,児童,"children, juvenile",じどう,JLPT N2
3689,縛る,"to tie, to bind",しばる,JLPT N2
3690,地盤,(the) ground,じばん,JLPT N2
3691,紙幣,"paper money, notes, bills",しへい,JLPT N2
3692,萎む,"to wither (of flowers, dreams, etc.), to wilt",しぼむ,JLPT N2
3693,絞る,"to press, to wring, to squeeze",しぼる,JLPT N2
3694,縞,stripe,しま,JLPT N2
3695,地味,"plain, simple, subdued, sober",じみ,JLPT N2
3696,氏名,full name,しめい,JLPT N2
3697,締切,deadline,しめきり,JLPT N2
3698,締め切り,"deadline, closing, cut-off, end",しめきり,JLPT N2
3699,締め切る,"to close, cancel",しめきる,JLPT N2
3700,地面,"ground, earth's surface",じめん,JLPT N2
3701,社会科学,social science,しゃかいかがく,JLPT N2
3702,蛇口,"faucet, tap",じゃぐち,JLPT N2
3703,弱点,"weak point, weakness",じゃくてん,JLPT N2
3704,車庫,"garage, car shed",しゃこ,JLPT N2
3705,車掌,(train) conductor,しゃしょう,JLPT N2
3706,写生,"sketching, drawing from nature",しゃせい,JLPT N2
3707,社説,editorial,しゃせつ,JLPT N2
3708,車輪,(car) wheel,しゃりん,JLPT N2
3709,洒落,"joke, pun, witticism",しゃれ,JLPT N2
3710,重～,heavy ~,じゅう～,JLPT N2
3711,集会,"meeting, assembly",しゅうかい,JLPT N2
3712,住居,"dwelling, house, residence, address",じゅうきょ,JLPT N2
3713,集金,money collection,しゅうきん,JLPT N2
3714,集合,"gathering, assembly",しゅうごう,JLPT N2
3715,習字,penmanship,しゅうじ,JLPT N2
3716,修繕,"repair, mending",しゅうぜん,JLPT N2
3717,重体,"serious condition, critical condition",じゅうたい,JLPT N2
3718,終点,"terminus, last stop (e.g train)",しゅうてん,JLPT N2
3719,重点,"important point, lay stress on, emphasis",じゅうてん,JLPT N2
3720,就任,"inauguration, assumption of office",しゅうにん,JLPT N2
3721,周辺,"circumference, peripheral",しゅうへん,JLPT N2
3722,重役,"director, high executive",じゅうやく,JLPT N2
3723,終了,"end, close, termination",しゅうりょう,JLPT N2
3724,重量,heavyweight,じゅうりょう,JLPT N2
3725,重力,gravity,じゅうりょく,JLPT N2
3726,熟語,"idiom, kanji compound",じゅくご,JLPT N2
3727,祝日,national holiday,しゅくじつ,JLPT N2
3728,縮小,"reduction, curtailment",しゅくしょう,JLPT N2
3729,受験,taking an examination,じゅけん,JLPT N2
3730,主語,(gram) subject,しゅご,JLPT N2
3731,主人,(one's own) husband,しゅじん,JLPT N2
3732,出勤,"going to work, at work",しゅっきん,JLPT N2
3733,述語,predicate,じゅつご,JLPT N2
3734,出張,"official tour, business trip",しゅっちょう,JLPT N2
3735,寿命,life span,じゅみょう,JLPT N2
3736,主役,leading part,しゅやく,JLPT N2
3737,受話器,(telephone) receiver,じゅわき,JLPT N2
3738,循環,"circulation, rotation, cycle",じゅんかん,JLPT N2
3739,巡査,policeman,じゅんさ,JLPT N2
3740,順々,"in order, in turn",じゅんじゅん,JLPT N2
3741,順序,"order, sequence, procedure",じゅんじょ,JLPT N2
3742,純情,pure heart,じゅんじょう,JLPT N2
3743,純粋,"pure, genuine, unmixed",じゅんすい,JLPT N2
3744,初～,first ~,しょ～,JLPT N2
3745,諸～,various ~,しょ～,JLPT N2
3746,女～,things done by women,じょ～,JLPT N2
3747,省～,economizing ~,しょう～,JLPT N2
3748,消化,digestion,しょうか,JLPT N2
3749,小学生,elementary school pupil,しょうがくせい,JLPT N2
3750,将棋,Japanese chess,しょうぎ,JLPT N2
3751,蒸気,"steam, vapor",じょうき,JLPT N2
3752,定規,(measuring) ruler,じょうぎ,JLPT N2
3753,上級,"advanced level, high grade, senior",じょうきゅう,JLPT N2
3754,商業,"commerce, trade, business",しょうぎょう,JLPT N2
3755,消極的,passive,しょうきょくてき,JLPT N2
3756,賞金,"prize, monetary award",しょうきん,JLPT N2
3757,上下,"high and low, up and down",じょうげ,JLPT N2
3758,障子,paper sliding door,しょうじ,JLPT N2
3759,商社,trading company,しょうしゃ,JLPT N2
3760,乗車,"taking a train, entraining",じょうしゃ,JLPT N2
3761,上旬,first 10 days of month,じょうじゅん,JLPT N2
3762,小数,"fraction (part of), decimal",しょうすう,JLPT N2
3763,生ずる,"to cause, to arise, to be generated",しょうずる,JLPT N2
3764,商店,"shop, business firm",しょうてん,JLPT N2
3765,焦点,"focus, point",しょうてん,JLPT N2
3766,消毒,disinfection,しょうどく,JLPT N2
3767,勝敗,"victory or defeat, issue (of battle)",しょうはい,JLPT N2
3768,蒸発,evaporation; unexplained disappearance,じょうはつ,JLPT N2
3769,賞品,"prize, trophy",しょうひん,JLPT N2
3770,上品,"refined, elegant, well-mannered",じょうひん,JLPT N2
3771,勝負,"victory or defeat, game",しょうぶ,JLPT N2
3772,小便,"(col) urine, piss",しょうべん,JLPT N2
3773,消防署,fire station,しょうぼうしょ,JLPT N2
3774,正味,net (weight),しょうみ,JLPT N2
3775,正面,front,しょうめん,JLPT N2
3776,消耗,"exhaustion, consumption",しょうもう,JLPT N2
3777,省略,"omission, abbreviation, abridgment",しょうりゃく,JLPT N2
3778,初級,elementary level,しょきゅう,JLPT N2
3779,助教授,assistant professor,じょきょうじゅ,JLPT N2
3780,食塩,table salt,しょくえん,JLPT N2
3781,職人,"artisan, craftsman",しょくにん,JLPT N2
3782,職場,workplace,しょくば,JLPT N2
3783,初旬,first 10 days of the month,しょじゅん,JLPT N2
3784,書籍,"book, publication",しょせき,JLPT N2
3785,食器,tableware,しょっき,JLPT N2
3786,書店,bookshop,しょてん,JLPT N2
3787,書道,calligraphy,しょどう,JLPT N2
3788,初歩,"elements, rudiments",しょほ,JLPT N2
3789,白髪,"white or grey hair, trendy hair bleaching",しらが,JLPT N2
3790,知り合い,acquaintance,しりあい,JLPT N2
3791,私立,private (establishment),しりつ,JLPT N2
3792,資料,"materials, data",しりょう,JLPT N2
3793,汁,"juice, soup",しる,JLPT N2
3794,素人,"layman, amateur, novice",しろうと,JLPT N2
3795,芯,"core, heart, wick",しん,JLPT N2
3796,新幹線,"Shinkansen, ""Bullet Train""",しんかんせん,JLPT N2
3797,真空,vacuum,しんくう,JLPT N2
3798,人事,"human resources, personnel management",じんじ,JLPT N2
3799,心身,mind and body,しんしん,JLPT N2
3800,信ずる,to believe,しんずる,JLPT N2
3801,申請,"application, request, petition",しんせい,JLPT N2
3802,人造,"man-made, synthetic, artificial",じんぞう,JLPT N2
3803,寝台,bed,しんだい,JLPT N2
3804,診断,diagnosis,しんだん,JLPT N2
3805,侵入,"invasion, raid, trespass",しんにゅう,JLPT N2
3806,人文科学,"social sciences, humanities",じんぶんかがく,JLPT N2
3807,人命,(human) life,じんめい,JLPT N2
3808,深夜,late at night,しんや,JLPT N2
3809,森林,"forest, woods",しんりん,JLPT N2
3810,親類,relative(s) (same as 親戚 (しんせき)),しんるい,JLPT N2
3811,針路,"course, direction",しんろ,JLPT N2
3812,神話,"myth, legend",しんわ,JLPT N2
3813,酢,vinegar,す,JLPT N2
3814,水産,"marine products, fisheries",すいさん,JLPT N2
3815,炊事,cooking,すいじ,JLPT N2
3816,水蒸気,"water vapor, steam",すいじょうき,JLPT N2
3817,水素,hydrogen,すいそ,JLPT N2
3818,垂直,"vertical, perpendicular",すいちょく,JLPT N2
3819,推定,"presumption, assumption, estimation",すいてい,JLPT N2
3820,水滴,drop of water,すいてき,JLPT N2
3821,水筒,"canteen, flask, water bottle",すいとう,JLPT N2
3822,随筆,"essays, miscellaneous writings",ずいひつ,JLPT N2
3823,水分,moisture,すいぶん,JLPT N2
3824,水平,"level, horizontal",すいへい,JLPT N2
3825,水平線,horizon,すいへいせん,JLPT N2
3826,水面,water's surface,すいめん,JLPT N2
3827,水曜,Wednesday,すいよう,JLPT N2
3828,図々しい,"impudent, shameless",ずうずうしい,JLPT N2
3829,末っ子,youngest child,すえっこ,JLPT N2
3830,図鑑,picture book,ずかん,JLPT N2
3831,隙,"unguarded moment, chance",すき,JLPT N2
3832,杉,Japanese cedar,すぎ,JLPT N2
3833,好き嫌い,"likes and dislikes, taste",すききらい,JLPT N2
3834,好き好き,matter of taste,すきずき,JLPT N2
3835,透き通る,to be(come) transparent,すきとおる,JLPT N2
3836,隙間,"crack, gap, opening",すきま,JLPT N2
3837,少なくとも,at least,すくなくとも,JLPT N2
3838,図形,figure,ずけい,JLPT N2
3839,鈴,bell,すず,JLPT N2
3840,涼む,"to cool oneself, to cool off",すずむ,JLPT N2
3841,素直,"obedient, meek, docile",すなお,JLPT N2
3842,頭脳,"head, brains, intellect",ずのう,JLPT N2
3843,図表,"chart, diagram, graph",ずひょう,JLPT N2
3844,住まい,"dwelling, house",すまい,JLPT N2
3845,相撲,sumo wrestling,すもう,JLPT N2
3846,狡い,"sly, cunning",ずるい,JLPT N2
3847,寸法,"measurement, size, dimension",すんぽう,JLPT N2
3848,姓,"surname, family name",せい,JLPT N2
3849,税関,customs,ぜいかん,JLPT N2
3850,製作,"manufacture, production",せいさく,JLPT N2
3851,制作,"work (e.g., film, book)",せいさく,JLPT N2
3852,性質,"nature, property, disposition",せいしつ,JLPT N2
3853,清書,clean copy,せいしょ,JLPT N2
3854,青少年,"youth, young person",せいしょうねん,JLPT N2
3855,整数,integer,せいすう,JLPT N2
3856,清掃,cleaning,せいそう,JLPT N2
3857,生存,"existence, being, survival",せいぞん,JLPT N2
3858,生長,growth (of a plant),せいちょう,JLPT N2
3859,政党,(member of) political party,せいとう,JLPT N2
3860,生年月日,date of birth,せいねんがっぴ,JLPT N2
3861,性能,"ability, capability",せいのう,JLPT N2
3862,整備,"maintenance, overhaul",せいび,JLPT N2
3863,成分,"ingredient, component, composition",せいぶん,JLPT N2
3864,性別,"sex, gender",せいべつ,JLPT N2
3865,正方形,square,せいほうけい,JLPT N2
3866,正門,"main gate, main entrance",せいもん,JLPT N2
3867,成立,"formation, establishment, completion",せいりつ,JLPT N2
3868,西暦,"Christian Era, after (Christ’s) death (A.D.)",せいれき,JLPT N2
3869,背負う,to be burdened with; to carry on (one's) back or shoulder(s),せおう,JLPT N2
3870,赤道,equator,せきどう,JLPT N2
3871,折角,"with trouble, at great pains, long-awaited",せっかく,JLPT N2
3872,接近,"getting closer, drawing nearer, approaching",せっきん,JLPT N2
3873,接する,to attend to (someone); to associate with,せっする,JLPT N2
3874,接続,"connection, union, join, link; changing trains",せつぞく,JLPT N2
3875,瀬戸物,"earthenware, crockery, china",せともの,JLPT N2
3876,迫る,"to draw near, to press",せまる,JLPT N2
3877,攻める,"to attack, to assault, to assail",せめる,JLPT N2
3878,台詞,"speech, words, one's lines, remarks",せりふ,JLPT N2
3879,栓,"stopper, cork, stopcock",せん,JLPT N2
3880,前～,"former, late ~, past ~",ぜん～,JLPT N2
3881,前後,"front and back, before and after",ぜんご,JLPT N2
3882,洗剤,"detergent, cleanser, cleaning agent, washing material",せんざい,JLPT N2
3883,全集,complete works,ぜんしゅう,JLPT N2
3884,全身,"whole (body), full-length (e.g., portrait) systemic",ぜんしん,JLPT N2
3885,扇子,folding fan,せんす,JLPT N2
3886,専制,"despotism, autocracy",せんせい,JLPT N2
3887,先々月,month before last,せんせんげつ,JLPT N2
3888,先々週,2 weeks before,せんせんしゅう,JLPT N2
3889,先祖,ancestor,せんぞ,JLPT N2
3890,先端,"pointed end, tip",せんたん,JLPT N2
3891,宣伝,"publicity, advertisement, advertising, propaganda",せんでん,JLPT N2
3892,先頭,"head, lead, vanguard",せんとう,JLPT N2
3893,全般,"(the) whole, general",ぜんぱん,JLPT N2
3894,扇風機,electric fan,せんぷうき,JLPT N2
3895,洗面,"wash up (one's face), have a wash",せんめん,JLPT N2
3896,全力,"all one's power, whole energy",ぜんりょく,JLPT N2
3897,線路,"line, track, roadbed",せんろ,JLPT N2
3898,総～,"gross, general, entire",そう～,JLPT N2
3899,相違,"difference, discrepancy, variation",そうい,JLPT N2
3900,雑巾,"house-cloth, dust cloth",ぞうきん,JLPT N2
3901,増減,"increase and decrease, fluctuation",ぞうげん,JLPT N2
3902,倉庫,"storehouse, warehouse",そうこ,JLPT N2
3903,相互,"mutual, reciprocal",そうご,JLPT N2
3904,創作,"production, creation, work",そうさく,JLPT N2
3905,葬式,funeral,そうしき,JLPT N2
3906,造船,shipbuilding,ぞうせん,JLPT N2
3907,騒々しい,"noisy, boisterous",そうぞうしい,JLPT N2
3908,増大,"increase, growth",ぞうだい,JLPT N2
3909,送別,"farewell, send-off",そうべつ,JLPT N2
3910,草履,Japanese sandals (footwear),ぞうり,JLPT N2
3911,総理大臣,Prime Minister,そうりだいじん,JLPT N2
3912,送料,"postage, carriage",そうりょう,JLPT N2
3913,属する,"to belong to, to come under",ぞくする,JLPT N2
3914,続々,"successively, one after another",ぞくぞく,JLPT N2
3915,速達,"express, special delivery",そくたつ,JLPT N2
3916,測定,measurement,そくてい,JLPT N2
3917,測量,"measurement, surveying",そくりょう,JLPT N2
3918,速力,speed,そくりょく,JLPT N2
3919,素質,"talent, capability",そしつ,JLPT N2
3920,祖先,ancestor(s),そせん,JLPT N2
3921,卒直,"frank, candid, honest",そっちょく,JLPT N2
3922,率直,"frank, candid, straightforward, openhearted, direct, outspoken",そっちょく,JLPT N2
3923,その他,besides,そのほか,JLPT N2
3924,剃る,to shave,そる,JLPT N2
3925,逸れる,"to stray (turn) from subject, to go astray",それる,JLPT N2
3926,揃える,"to collect, to gather, to get together, to complete (a collection) to arrange, to put in order, to prepare, to get ready to make uniform, to make even, to match",そろえる,JLPT N2
3927,算盤,abacus,そろばん,JLPT N2
3928,存じる,(humble) to know,ぞんじる,JLPT N2
3929,存ずる,(humble) to know,ぞんずる,JLPT N2
3930,損得,"loss and gain, advantage and disadvantage",そんとく,JLPT N2
3931,第～,~th,だい～,JLPT N2
3932,大学院,graduate school,だいがくいん,JLPT N2
3933,大工,carpenter,だいく,JLPT N2
3934,体系,"system, organization",たいけい,JLPT N2
3935,太鼓,"drum, tambourine",たいこ,JLPT N2
3936,対策,"counter-plan, counter-measure",たいさく,JLPT N2
3937,大して,"(not so) much, (not) very",たいして,JLPT N2
3938,対照,"contrast, antithesis, comparison",たいしょう,JLPT N2
3939,大小,size,だいしょう,JLPT N2
3940,体制,"order, system, structure",たいせい,JLPT N2
3941,体積,"capacity, volume",たいせき,JLPT N2
3942,大層,"very much, greatly",たいそう,JLPT N2
3943,体操,"gymnastics, physical exercises, calisthenics",たいそう,JLPT N2
3944,大分,"considerably, greatly, a lot",だいぶん,JLPT N2
3945,大木,large tree,たいぼく,JLPT N2
3946,題名,"title, caption, heading",だいめい,JLPT N2
3947,代名詞,pronoun,だいめいし,JLPT N2
3948,対立,"confrontation, opposition, antagonism",たいりつ,JLPT N2
3949,田植え,rice planting,たうえ,JLPT N2
3950,絶えず,constantly,たえず,JLPT N2
3951,楕円,ellipse,だえん,JLPT N2
3952,高める,"to raise, to lift, to boost, to enhance",たかめる,JLPT N2
3953,耕す,"to till, to plow, to cultivate",たがやす,JLPT N2
3954,滝,waterfall,たき,JLPT N2
3955,蓄える,"to save, to store, to lay in stock",たくわえる,JLPT N2
3956,竹,bamboo,たけ,JLPT N2
3957,但し,"but, however, provided that",ただし,JLPT N2
3958,畳む,"to fold (e.g., clothes, umbrella)",たたむ,JLPT N2
3959,立ち止まる,"to stop, to halt, to stand still",たちどまる,JLPT N2
3960,建つ,"to be erected, to be built",たつ,JLPT N2
3961,脱線,"derailment, digression",だっせん,JLPT N2
3962,妥当,"proper, appropriate",だとう,JLPT N2
3963,例える,"to compare, to liken",たとえる,JLPT N2
3964,頼もしい,"reliable, promising",たのもしい,JLPT N2
3965,足袋,"tabi, Japanese socks (with split toe)",たび,JLPT N2
3966,溜息,a sigh,ためいき,JLPT N2
3967,足る,"to be sufficient, to be enough",たる,JLPT N2
3968,短～,short ~,たん～,JLPT N2
3969,段階,"gradation, grade, stage",だんかい,JLPT N2
3970,短期,short term,たんき,JLPT N2
3971,炭鉱,"coal mine, coal pit",たんこう,JLPT N2
3972,短所,"defect, weak point; disadvantage",たんしょ,JLPT N2
3973,淡水,fresh water,たんすい,JLPT N2
3974,断水,water outage,だんすい,JLPT N2
3975,単数,singular (number),たんすう,JLPT N2
3976,団地,housing complex,だんち,JLPT N2
3977,断定,"conclusion, decision",だんてい,JLPT N2
3978,短編,"short (e.g., story, film)",たんぺん,JLPT N2
3979,田ぼ,"paddy field, farm",たんぼ,JLPT N2
3980,誓う,"to swear, to vow",ちかう,JLPT N2
3981,地下水,underground water,ちかすい,JLPT N2
3982,近々,"soon, before long",ちかぢか,JLPT N2
3983,近付ける,"to bring near, to put close, to let come near",ちかづける,JLPT N2
3984,近寄る,"to approach, to draw near",ちかよる,JLPT N2
3985,力強い,"powerful, strong, vigorous",ちからづよい,JLPT N2
3986,地質,geological features,ちしつ,JLPT N2
3987,知人,"friend, acquaintance",ちじん,JLPT N2
3988,地帯,"area, zone",ちたい,JLPT N2
3989,縮む,"to shrink, to be contracted",ちぢむ,JLPT N2
3990,縮める,"to shorten, to reduce, to shrink",ちぢめる,JLPT N2
3991,縮れる,"to be wavy, to be curled",ちぢれる,JLPT N2
3992,地点,"site, point on a map",ちてん,JLPT N2
3993,地名,place name,ちめい,JLPT N2
3994,茶色い,brown,ちゃいろい,JLPT N2
3995,着々,steadily,ちゃくちゃく,JLPT N2
3996,中間,"middle, midway, interim",ちゅうかん,JLPT N2
3997,中旬,second third of a month,ちゅうじゅん,JLPT N2
3998,抽象,abstract,ちゅうしょう,JLPT N2
3999,中世,"Middle Ages, medieval times",ちゅうせい,JLPT N2
4000,中性,"neuter gender, neutral",ちゅうせい,JLPT N2
4001,中途,"in the middle, half-way",ちゅうと,JLPT N2
4002,中年,middle-aged,ちゅうねん,JLPT N2
4003,長～,long ~,ちょう～,JLPT N2
4004,超過,"excess, being more than",ちょうか,JLPT N2
4005,彫刻,"carving, engraving, sculpture",ちょうこく,JLPT N2
4006,長所,"strong point, merit; advantage",ちょうしょ,JLPT N2
4007,長女,eldest daughter,ちょうじょ,JLPT N2
4008,調整,"regulation, adjustment, tuning",ちょうせい,JLPT N2
4009,調節,"regulation, adjustment, control",ちょうせつ,JLPT N2
4010,長短,"length, long and short, +-",ちょうたん,JLPT N2
4011,頂点,"top, summit",ちょうてん,JLPT N2
4012,長男,eldest son,ちょうなん,JLPT N2
4013,長方形,"rectangle, oblong",ちょうほうけい,JLPT N2
4014,調味料,"condiment, seasoning",ちょうみりょう,JLPT N2
4015,直後,immediately following,ちょくご,JLPT N2
4016,直線,straight line,ちょくせん,JLPT N2
4017,直前,just before,ちょくぜん,JLPT N2
4018,直通,direct connection,ちょくつう,JLPT N2
4019,直流,direct current,ちょくりゅう,JLPT N2
4020,貯蔵,"storage, preservation",ちょぞう,JLPT N2
4021,直角,right angle,ちょっかく,JLPT N2
4022,直径,diameter,ちょっけい,JLPT N2
4023,散らかす,"to scatter around, to leave untidy",ちらかす,JLPT N2
4024,散らかる,to be in disorder,ちらかる,JLPT N2
4025,塵紙,"tissue paper, toilet paper",ちりがみ,JLPT N2
4026,追加,"addition, supplement, appendix",ついか,JLPT N2
4027,通勤,commuting to work,つうきん,JLPT N2
4028,通ずる,"to lead, to run, to open",つうずる,JLPT N2
4029,通知,"notice, notification",つうち,JLPT N2
4030,通帳,bankbook,つうちょう,JLPT N2
4031,通訳,"interpretation (i.e., oral translation) interpreter",つうやく,JLPT N2
4032,通用,"popular use, circulation",つうよう,JLPT N2
4033,通路,"passage, pathway",つうろ,JLPT N2
4034,突き当たり,"end (e.g., of street)",つきあたり,JLPT N2
4035,突き当たる,"to run into, to collide with",つきあたる,JLPT N2
4036,月日,"time, years, days",つきひ,JLPT N2
4037,次ぐ,"to follow, to come after, to come next (to)",つぐ,JLPT N2
4038,伝わる,"to spread (of a rumor, news, etc.), to travel, to circulate, to go around, to be passed around, to become known",つたわる,JLPT N2
4039,突っ込む,"to plunge into, to stick into",つっこむ,JLPT N2
4040,務める,"to serve, to act",つとめる,JLPT N2
4041,努める,"to try, to aim",つとめる,JLPT N2
4042,綱,rope,つな,JLPT N2
4043,繋がり,"connection, link, relationship",つながり,JLPT N2
4044,繋がる,"to be tied together, to be connected to, to be linked to",つながる,JLPT N2
4045,粒,grain,つぶ,JLPT N2
4046,潰す,"to smash, to waste",つぶす,JLPT N2
4047,潰れる,"to be smashed, to go bankrupt",つぶれる,JLPT N2
4048,躓く,"to trip (over), to stumble",つまずく,JLPT N2
4049,詰まる,"to be blocked, to be packed",つまる,JLPT N2
4050,積む,"to pile up, to stack",つむ,JLPT N2
4051,爪,fingernail or toenail,つめ,JLPT N2
4052,艶,"gloss, glaze",つや,JLPT N2
4053,強気,"firm, strong",つよき,JLPT N2
4054,釣り合う,"to balance, to be in harmony, to suit",つりあう,JLPT N2
4055,吊る,to hang,つる,JLPT N2
4056,吊す,to hang,つるす,JLPT N2
4057,手洗い,"restroom, lavatory",てあらい,JLPT N2
4058,低～,low ~,てい～,JLPT N2
4059,定員,"fixed number of regular personnel, capacity (e.g., of boat)",ていいん,JLPT N2
4060,定価,established price,ていか,JLPT N2
4061,低下,"fall, decline",ていか,JLPT N2
4062,定期券,"commuter pass, season ticket",ていきけん,JLPT N2
4063,定休日,regular holiday,ていきゅうび,JLPT N2
4064,停止,"suspension, interruption, stoppage",ていし,JLPT N2
4065,停車,"stopping (e.g., train)",ていしゃ,JLPT N2
4066,停電,"power outage, electricity outage, blackout",ていでん,JLPT N2
4067,出入り,"in and out, coming and going",でいり,JLPT N2
4068,出入口,exit and entrance,でいりぐち,JLPT N2
4069,出入り口,exit and entrance,でいりぐち,JLPT N2
4070,手入れ,"repairs, maintenance",ていれ,JLPT N2
4071,出来上がり,"be finished, ready",できあがり,JLPT N2
4072,出来上がる,"to be finished, to be ready",できあがる,JLPT N2
4073,的確,"precise, accurate",てきかく,JLPT N2
4074,適確,"precise, accurate",てきかく,JLPT N2
4075,手首,wrist,てくび,JLPT N2
4076,凸凹,"unevenness, roughness, ruggedness",でこぼこ,JLPT N2
4077,手頃,"moderate, handy",てごろ,JLPT N2
4078,手ごろ,"handy, convenient suitable, reasoanble, moderate",てごろ,JLPT N2
4079,弟子,"pupil, disciple, apprentice",でし,JLPT N2
4080,手帳,notebook,てちょう,JLPT N2
4081,鉄橋,iron bridge,てっきょう,JLPT N2
4082,手続き,"procedure, (legal) process, formalities",てつづき,JLPT N2
4083,鉄砲,gun,てっぽう,JLPT N2
4084,手拭い,(hand) towel,てぬぐい,JLPT N2
4085,手前,"before, this side",てまえ,JLPT N2
4086,出迎え,"meeting, reception",でむかえ,JLPT N2
4087,出迎える,"to meet, to greet",でむかえる,JLPT N2
4088,照らす,"to shine on, to illuminate",てらす,JLPT N2
4089,照る,to shine,てる,JLPT N2
4090,展開,"develop, expansion (opposite of compression)",てんかい,JLPT N2
4091,伝記,"biography, life story",でんき,JLPT N2
4092,電球,light bulb,でんきゅう,JLPT N2
4093,点数,"marks, points, score",てんすう,JLPT N2
4094,伝染,contagion,でんせん,JLPT N2
4095,電池,battery,でんち,JLPT N2
4096,電柱,"telephone pole, telegraph pole, light pole",でんちゅう,JLPT N2
4097,点々,"here and there, little by little",てんてん,JLPT N2
4098,転々,from one to another,てんてん,JLPT N2
4099,天皇,Emperor of Japan,てんのう,JLPT N2
4100,電波,electro-magnetic wave,でんぱ,JLPT N2
4101,電流,electric current,でんりゅう,JLPT N2
4102,電力,electric power,でんりょく,JLPT N2
4103,問い合わせ,inquiry,といあわせ,JLPT N2
4104,銅,copper,どう,JLPT N2
4105,同～,same ~,どう～,JLPT N2
4106,統一,"unity, consolidation, uniformity",とういつ,JLPT N2
4107,同格,"the same rank, equality, apposition",どうかく,JLPT N2
4108,峠,"ridge, (mountain) pass, difficult part",とうげ,JLPT N2
4109,統計,"scattering, a scatter, dispersion",とうけい,JLPT N2
4110,動作,"action, movements, motions",どうさ,JLPT N2
4111,東西,"East and West, whole country",とうざい,JLPT N2
4112,当日,"appointed day, very day",とうじつ,JLPT N2
4113,投書,"letter to the editor, letter from a reader, contribution",とうしょ,JLPT N2
4114,登場,entry (on stage),とうじょう,JLPT N2
4115,灯台,lighthouse,とうだい,JLPT N2
4116,盗難,"theft, robbery",とうなん,JLPT N2
4117,当番,being on duty,とうばん,JLPT N2
4118,等分,division into equal parts,とうぶん,JLPT N2
4119,透明,"transparency, cleanness",とうめい,JLPT N2
4120,灯油,"lamp oil, kerosene",とうゆ,JLPT N2
4121,東洋,"the East, the Orient",とうよう,JLPT N2
4122,童話,fairy tale,どうわ,JLPT N2
4123,通り掛かる,to happen to pass by,とおりかかる,JLPT N2
4124,溶かす,"to melt, to dissolve",とかす,JLPT N2
4125,尖る,"to taper to a point, to become sharp",とがる,JLPT N2
4126,特殊,"special, unique",とくしゅ,JLPT N2
4127,特色,"characteristic, feature",とくしょく,JLPT N2
4128,特定,"specific, special, particular",とくてい,JLPT N2
4129,特売,special sale,とくばい,JLPT N2
4130,溶け込む,to melt into; to become a part of,とけこむ,JLPT N2
4131,溶ける,"(intransitive) to melt, to thaw, to fuse, to dissolve",とける,JLPT N2
4132,退ける,"to dislodge, to put something out of the way",どける,JLPT N2
4133,床の間,alcove,とこのま,JLPT N2
4134,所々,"here and there, some parts (of something)",ところどころ,JLPT N2
4135,都心,heart (of city),としん,JLPT N2
4136,戸棚,"cupboard, cabinet",とだな,JLPT N2
4137,整う,"to be prepared, to be in order, to be arranged",ととのう,JLPT N2
4138,留まる,"to be fixed; to abide, to stay (in the one place)",とどまる,JLPT N2
4139,怒鳴る,"to shout, to yell",どなる,JLPT N2
4140,殿,Mister (mostly in addressing someone on an envelope),どの,JLPT N2
4141,飛び込む,"to jump in, to leap in, to plunge into",とびこむ,JLPT N2
4142,留まる,"to be fixed; to abide, to stay (in the one place)",とまる,JLPT N2
4143,泊める,"to give shelter to, to lodge",とめる,JLPT N2
4144,捕える,"to seize, to capture, to arrest",とらえる,JLPT N2
4145,取り入れる,"to harvest, to take in, to adopt",とりいれる,JLPT N2
4146,取り消す,to cancel,とりけす,JLPT N2
4147,取り出す,"to take out, to pick out",とりだす,JLPT N2
4148,採る,"to adopt (measure, proposal); to pick (fruit)",とる,JLPT N2
4149,捕る,"to take, to catch (fish)",とる,JLPT N2
4150,丼,"porcelain bowl, bowl of rice with food on top",どんぶり,JLPT N2
4151,内科,"internist clinic, internal medicine",ないか,JLPT N2
4152,内線,phone extension,ないせん,JLPT N2
4153,長～,long ~,なが～,JLPT N2
4154,仲直り,"reconciliation, make peace with",なかなおり,JLPT N2
4155,長引く,"to be prolonged, to drag on",ながびく,JLPT N2
4156,中身,"contents, interior, filling substance, content",なかみ,JLPT N2
4157,中指,middle finger,なかゆび,JLPT N2
4158,仲良し,"intimate friend, bosom buddy",なかよし,JLPT N2
4159,慰める,"to comfort, to console",なぐさめる,JLPT N2
4160,殴る,"to strike, to hit, to beat, to punch",なぐる,JLPT N2
4161,為す,"to accomplish, to do",なす,JLPT N2
4162,謎謎,riddle,なぞなぞ,JLPT N2
4163,傾らか,"gradual, gentle",なだらか,JLPT N2
4164,懐かしい,"dear, desired, missed",なつかしい,JLPT N2
4165,撫でる,"to brush gently, to stroke",なでる,JLPT N2
4166,斜め,"diagonal, oblique",ななめ,JLPT N2
4167,何しろ,"in any case, at any rate, anyhow, anyway, as you know, for you see, particularly",なにしろ,JLPT N2
4168,何々,"such and such, What?",なになに,JLPT N2
4169,何分,"by all means, please",なにぶん,JLPT N2
