id,kanji,meaning,reading,tag
220,困る,"to be bothered, to have difficulty",こまる,JLPT N5
221,今月,this month,こんげつ,JLPT N5
222,今週,this week,こんしゅう,JLPT N5
223,今晩,"tonight, this evening",こんばん,JLPT N5
224,～歳,~ years old,～さい,JLPT N5
225,財布,wallet,さいふ,JLPT N5
226,魚,fish,さかな,JLPT N5
227,先,"future; recent, previous",さき,JLPT N5
228,咲く,to bloom,さく,JLPT N5
229,作文,essay; composition,さくぶん,JLPT N5
230,差す,"to raise (stretch out) hands, to raise (e.g., umbrella)",さす,JLPT N5
231,～冊,counter for books,～さつ,JLPT N5
232,雑誌,"magazine, journal",ざっし,JLPT N5
233,砂糖,sugar,さとう,JLPT N5
234,寒い,cold (in reference to weather),さむい,JLPT N5
235,さ来年,year after next,さらいねん,JLPT N5
236,三,three,さん,JLPT N5
237,散歩,"walk, stroll",さんぽ,JLPT N5
238,四,four,し,JLPT N5
239,～時,~ o'clock (time),～じ,JLPT N5
240,塩,salt,しお,JLPT N5
241,時間,time,じかん,JLPT N5
242,～時間,~ hours,～じかん,JLPT N5
243,仕事,"work, job, occupation, employment",しごと,JLPT N5
244,辞書,dictionary,じしょ,JLPT N5
245,静か,"quiet, calm",しずか,JLPT N5
246,下,"under, below, beneath",した,JLPT N5
247,七,seven,しち,JLPT N5
248,質問,"question, inquiry",しつもん,JLPT N5
249,自転車,bicycle,じてんしゃ,JLPT N5
250,自動車,automobile,じどうしゃ,JLPT N5
251,死ぬ,to die,しぬ,JLPT N5
252,字引,dictionary,じびき,JLPT N5
253,自分,"myself, oneself",じぶん,JLPT N5
254,閉まる,"to close, to be closed",しまる,JLPT N5
255,閉める,"to close, to shut",しめる,JLPT N5
256,締める,"to tie, to fasten, to tighten",しめる,JLPT N5
257,写真,a picture; a photograph,しゃしん,JLPT N5
258,十,ten,じゅう,JLPT N5
259,～中,"during, while",～じゅう,JLPT N5
260,～週間,~ weeks,～しゅうかん,JLPT N5
261,授業,a class (of school),じゅぎょう,JLPT N5
262,宿題,homework,しゅくだい,JLPT N5
263,上手,"be good at, skillful",じょうず,JLPT N5
264,丈夫,"strong, solid, durable",じょうぶ,JLPT N5
265,醤油,soy sauce,しょうゆ,JLPT N5
266,食堂,"cafeteria, dining hall",しょくどう,JLPT N5
267,知る,"to know, to understand",しる,JLPT N5
268,白,white,しろ,JLPT N5
269,白い,white,しろい,JLPT N5
270,～人,counter for people,～じん,JLPT N5
271,新聞,newspaper,しんぶん,JLPT N5
272,水曜日,Wednesday,すいようび,JLPT N5
273,吸う,"to breathe in, to suck",すう,JLPT N5
274,好き,"liking, fondness, love",すき,JLPT N5
275,少ない,a little; a few,すくない,JLPT N5
276,少し,"little, few",すこし,JLPT N5
277,涼しい,"cool, refreshing (in reference to weather)",すずしい,JLPT N5
278,住む,"to reside, to live in",すむ,JLPT N5
279,座る,to sit,すわる,JLPT N5
280,背,"(one's) height, stature",せい,JLPT N5
281,生徒,student; pupil,せいと,JLPT N5
282,石鹸,soap,せっけん,JLPT N5
283,背広,men's suit,せびろ,JLPT N5
284,狭い,narrow; not spacious,せまい,JLPT N5
285,千,thousand,せん,JLPT N5
286,先月,last month,せんげつ,JLPT N5
287,先週,last week,せんしゅう,JLPT N5
288,先生,"teacher, professor; master; doctor",せんせい,JLPT N5
289,洗濯,"washing, laundry",せんたく,JLPT N5
290,全部,"all, entire, whole",ぜんぶ,JLPT N5
291,掃除,"cleaning, sweeping",そうじ,JLPT N5
292,外,"outside, exterior",そと,JLPT N5
293,空,sky,そら,JLPT N5
294,～台,counter for vehicles; machines,～だい,JLPT N5
295,大学,college; university,だいがく,JLPT N5
296,大使館,embassy,たいしかん,JLPT N5
297,大丈夫,It's ok (all right); No need to worry; Everything is under control,だいじょうぶ,JLPT N5
298,大好き,"very like-able, like very much",だいすき,JLPT N5
299,大切,important,たいせつ,JLPT N5
300,台所,kitchen,だいどころ,JLPT N5
301,大変,"very; difficult, hard",たいへん,JLPT N5
302,高い,"tall, high; expensive",たかい,JLPT N5
303,沢山,"many, much",たくさん,JLPT N5
304,出す,to take (something) out; to hand in (something),だす,JLPT N5
305,立つ,to stand up,たつ,JLPT N5
306,建物,building,たてもの,JLPT N5
307,楽しい,"enjoyable, fun",たのしい,JLPT N5
308,頼む,"to request, to ask (a favor)",たのむ,JLPT N5
309,多分,"perhaps, probably, maybe",たぶん,JLPT N5
310,食べ物,food,たべもの,JLPT N5
311,食べる,to eat,たべる,JLPT N5
312,卵,egg,たまご,JLPT N5
313,誰,who,だれ,JLPT N5
314,誰か,someone,だれか,JLPT N5
315,誕生日,birthday,たんじょうび,JLPT N5
316,段々,"gradually, by degrees",だんだん,JLPT N5
317,小さい,"small, little",ちいさい,JLPT N5
318,小さな,"small, little",ちいさな,JLPT N5
319,近い,"near, close by, short",ちかい,JLPT N5
320,違う,to be different; to differ; wrong,ちがう,JLPT N5
321,近く,nearby; in the neighborhood,ちかく,JLPT N5
322,地下鉄,"underground train, subway",ちかてつ,JLPT N5
323,地図,a map,ちず,JLPT N5
324,父,(my) father,ちち,JLPT N5
325,茶色,brown,ちゃいろ,JLPT N5
326,茶碗,rice bowl,ちゃわん,JLPT N5
327,～中,"during, while ~ing",～ちゅう,JLPT N5
328,丁度,"just, right, exactly",ちょうど,JLPT N5
329,一日,one day; first day of the month,ついたち,JLPT N5
330,使う,to use,つかう,JLPT N5
331,疲れる,to get (become) tired; to become fatigued,つかれる,JLPT N5
332,次,next,つぎ,JLPT N5
333,着く,"to arrive at, to reach",つく,JLPT N5
334,机,desk,つくえ,JLPT N5
335,作る,"to make, to create",つくる,JLPT N5
336,勤める,to work (for),つとめる,JLPT N5
337,冷たい,"cold (things, people)",つめたい,JLPT N5
338,強い,"strong, powerful",つよい,JLPT N5
339,手,hand,て,JLPT N5
340,出かける,to go out; to depart,でかける,JLPT N5
341,手紙,letter,てがみ,JLPT N5
342,出口,an exit,でぐち,JLPT N5
343,出る,"to appear, to leave",でる,JLPT N5
344,天気,weather,てんき,JLPT N5
345,電気,"electricity, (electric) light",でんき,JLPT N5
346,電車,electric train,でんしゃ,JLPT N5
347,電話,a telephone,でんわ,JLPT N5
348,戸,door (Japanese style),と,JLPT N5
349,～度,counter for occurrences; ~ degree; ~ point,～ど,JLPT N5
350,動物,animal,どうぶつ,JLPT N5
351,十,ten (~),とお,JLPT N5
352,遠い,"far (away), distant",とおい,JLPT N5
353,十日,ten days; tenth day of the month,とおか,JLPT N5
354,～時,at the time of ~,～とき,JLPT N5
355,時々,sometimes,ときどき,JLPT N5
356,時計,a watch; a clock,とけい,JLPT N5
357,所,place,ところ,JLPT N5
358,年,"year, age",とし,JLPT N5
359,図書館,library,としょかん,JLPT N5
360,隣,"next to, next door to",となり,JLPT N5
361,飛ぶ,"to fly, to hop",とぶ,JLPT N5
362,止まる,to come to a halt,とまる,JLPT N5
363,友達,friend,ともだち,JLPT N5
364,土曜日,Saturday,どようび,JLPT N5
365,鳥,"chicken (lit., bird)",とり,JLPT N5
366,鶏肉,chicken meat,とりにく,JLPT N5
367,取る,to take (a class); to get (a grade),とる,JLPT N5
368,撮る,"to take (a photo), to make (a film)",とる,JLPT N5
369,中,"inside, middle, among",なか,JLPT N5
370,長い,"long, lengthy",ながい,JLPT N5
371,鳴く,to make sound (animal),なく,JLPT N5
372,無くす,to lose something,なくす,JLPT N5
373,夏,summer,なつ,JLPT N5
374,夏休み,summer vacation,なつやすみ,JLPT N5
375,七つ,seven things,ななつ,JLPT N5
376,何,what,なに,JLPT N5
377,七日,seven days; seventh day (of the month),なのか,JLPT N5
378,名前,name,なまえ,JLPT N5
379,習う,to learn,ならう,JLPT N5
380,並ぶ,"to line up, to stand in a line (v.i.)",ならぶ,JLPT N5
381,並べる,to put (things) side by side; to line up,ならべる,JLPT N5
382,何～,what sort of ~,なん～,JLPT N5
383,二,two,に,JLPT N5
384,肉,meat,にく,JLPT N5
385,西,west,にし,JLPT N5
386,～日,"~ day of the month, for ~ days",～にち,JLPT N5
387,日曜日,Sunday,にちようび,JLPT N5
388,荷物,luggage; baggage,にもつ,JLPT N5
389,庭,garden,にわ,JLPT N5
390,～人,counter for people,～にん,JLPT N5
391,脱ぐ,to take off (clothes),ぬぐ,JLPT N5
392,温い,lukewarm,ぬるい,JLPT N5
393,猫,cat,ねこ,JLPT N5
394,寝る,to sleep; to go to sleep; to go to bed,ねる,JLPT N5
395,～年,~ years,～ねん,JLPT N5
396,登る,to climb,のぼる,JLPT N5
397,飲み物,"drink, beverage",のみもの,JLPT N5
398,飲む,to drink,のむ,JLPT N5
399,乗る,"to get on, to ride in, to board",のる,JLPT N5
400,歯,tooth,は,JLPT N5
401,～杯,counter for cupfuls,～はい,JLPT N5
402,灰皿,ashtray,はいざら,JLPT N5
403,入る,"to enter, to contain, to hold",はいる,JLPT N5
404,葉書,postcard,はがき,JLPT N5
405,箱,box,はこ,JLPT N5
406,橋,bridge,はし,JLPT N5
407,箸,chopsticks,はし,JLPT N5
408,始まる,(something) begins,はじまる,JLPT N5
409,初め; 始め,"beginning, start",はじめ,JLPT N5
410,初めて,for the first time,はじめて,JLPT N5
411,走る,to run,はしる,JLPT N5
412,二十歳,20 years old,はたち,JLPT N5
413,働く,to work,はたらく,JLPT N5
414,八,eight,はち,JLPT N5
415,二十日,"twenty days, twentieth (day of the month)",はつか,JLPT N5
416,花,flower,はな,JLPT N5
417,鼻,nose,はな,JLPT N5
418,話,"talk (chat), story",はなし,JLPT N5
419,話す,to speak,はなす,JLPT N5
420,母,(my) mother,はは,JLPT N5
421,早い,early,はやい,JLPT N5
422,速い,"fast, quick",はやい,JLPT N5
423,春,spring,はる,JLPT N5
424,貼る,to post; to paste; to attach,はる,JLPT N5
425,晴れ,clear (sunny) weather,はれ,JLPT N5
426,晴れる,to be sunny,はれる,JLPT N5
427,半,"half (e.g., にじはん | half-past two)",はん,JLPT N5
428,晩,evening,ばん,JLPT N5
429,～番,~st; ~th best,～ばん,JLPT N5
430,番号,"number, series of digits",ばんごう,JLPT N5
431,晩御飯,"dinner, evening meal",ばんごはん,JLPT N5
432,半分,half,はんぶん,JLPT N5
433,東,east,ひがし,JLPT N5
434,～匹,counter for small animals,～ひき,JLPT N5
435,引く,"to pull, to draw; subtract",ひく,JLPT N5
436,弾く,to play (a string instrument or piano),ひく,JLPT N5
437,低い,"short, low",ひくい,JLPT N5
438,飛行機,airplane,ひこうき,JLPT N5
439,左,left hand side,ひだり,JLPT N5
440,人,"man, person",ひと,JLPT N5
441,一つ,one thing,ひとつ,JLPT N5
442,一月,one month,ひとつき,JLPT N5
443,一人,one person,ひとり,JLPT N5
444,暇,"free time, leisure",ひま,JLPT N5
445,百,hundred,ひゃく,JLPT N5
446,病院,hospital,びょういん,JLPT N5
447,病気,illness; sickness,びょうき,JLPT N5
448,平仮名,hiragana,ひらがな,JLPT N5
449,昼,"noon, daytime",ひる,JLPT N5
450,昼御飯,"lunch, midday meal",ひるごはん,JLPT N5
451,広い,spacious; wide; broad,ひろい,JLPT N5
452,封筒,envelope,ふうとう,JLPT N5
453,吹く,"to blow (wind, etc.)",ふく,JLPT N5
454,服,clothes,ふく,JLPT N5
455,二つ,two things,ふたつ,JLPT N5
456,豚肉,pork,ぶたにく,JLPT N5
457,二人,two people,ふたり,JLPT N5
458,二日,two days; second day of the month,ふつか,JLPT N5
459,太い,"fat, thick",ふとい,JLPT N5
460,冬,winter,ふゆ,JLPT N5
461,降る,"to precipitate, to fall (e.g., rain, snow, etc.)",ふる,JLPT N5
462,古い,"old (in reference to objects, not people), aged, ancient",ふるい,JLPT N5
463,～分,~ minutes,～ふん,JLPT N5
464,文章,"sentence, text",ぶんしょう,JLPT N5
465,ページ,a page,ページ,JLPT N5
466,下手,"unskillful, poor",へた,JLPT N5
467,ベッド,bed,ベッド,JLPT N5
468,部屋,a room,へや,JLPT N5
469,辺,"area, vicinity",へん,JLPT N5
470,勉強,study,べんきょう,JLPT N5
471,便利,"convenient, handy",べんり,JLPT N5
472,帽子,hat; cap,ぼうし,JLPT N5
473,外,"other, the rest",ほか,JLPT N5
474,欲しい,"to want, in need of",ほしい,JLPT N5
475,細い,"thin, slender, fine",ほそい,JLPT N5
476,本,book,ほん,JLPT N5
477,～本,counter for long cylindrical things,～ほん,JLPT N5
478,本棚,bookshelf,ほんだな,JLPT N5
479,本当,"real, true",ほんとう,JLPT N5
480,～枚,counter for flat things,～まい,JLPT N5
481,毎朝,every morning,まいあさ,JLPT N5
482,毎月,"every month, monthly",まいげつ,JLPT N5
483,毎週,every week,まいしゅう,JLPT N5
484,毎日,every day,まいにち,JLPT N5
485,毎年,"every year, yearly, annually",まいとし,JLPT N5
486,毎晩,every night,まいばん,JLPT N5
487,前,"before, in front",まえ,JLPT N5
488,～前,in front of ~,～まえ,JLPT N5
489,曲る,"to turn, to bend",まがる,JLPT N5
490,町,town; city,まち,JLPT N5
491,待つ,to wait,まつ,JLPT N5
492,窓,window,まど,JLPT N5
493,丸い; 円い,"round, circular",まるい,JLPT N5
494,万,ten thousand,まん,JLPT N5
495,万年筆,fountain pen,まんねんひつ,JLPT N5
496,磨く,to brush (teeth); to polish,みがく,JLPT N5
497,右,right hand side,みぎ,JLPT N5
498,短い,short (length),みじかい,JLPT N5
499,水,water,みず,JLPT N5
500,店,"store, shop",みせ,JLPT N5
501,見せる,"to show, to display",みせる,JLPT N5
502,道,"road, street; way, directions",みち,JLPT N5
503,三日,"three days, third day of the month",みっか,JLPT N5
504,三つ,three things,みっつ,JLPT N5
505,緑,green,みどり,JLPT N5
506,皆さん,"all of you, everyone",みなさん,JLPT N5
507,南,South,みなみ,JLPT N5
508,耳,ear,みみ,JLPT N5
509,見る,"to see, to look",みる,JLPT N5
510,六日,six days; sixth day of month,むいか,JLPT N5
511,向こう,"beyond, over there",むこう,JLPT N5
512,難しい,difficult,むずかしい,JLPT N5
513,六つ,six things,むっつ,JLPT N5
514,村,village,むら,JLPT N5
515,目,eye(s),め,JLPT N5
516,眼鏡,eye glasses,めがね,JLPT N5
517,木曜日,Thursday,もくようび,JLPT N5
518,持つ,"to hold, to carry; to possess",もつ,JLPT N5
519,物,thing (concrete object),もの,JLPT N5
520,門,gate,もん,JLPT N5
521,問題,a problem,もんだい,JLPT N5
522,～屋,~ shop,～や,JLPT N5
523,八百屋,greengrocer,やおや,JLPT N5
524,野菜,vegetable,やさい,JLPT N5
525,易しい,"easy, plain, simple",やさしい,JLPT N5
526,安い,inexpensive; cheap (things),やすい,JLPT N5
527,休み,holiday; day off; absence,やすみ,JLPT N5
528,休む,"to rest, to have a break, to get time off",やすむ,JLPT N5
529,八つ,eight things,やっつ,JLPT N5
530,山,mountain,やま,JLPT N5
531,夕方,"late afternoon (typically just before dinner time), evening",ゆうがた,JLPT N5
532,夕飯,"dinner, supper, evening meal",ゆうはん,JLPT N5
533,郵便局,post office,ゆうびんきょく,JLPT N5
534,昨夜,last night,ゆうべ,JLPT N5
535,有名,famous,ゆうめい,JLPT N5
536,雪,snow,ゆき,JLPT N5
537,八日,eight days; eighth day of the month,ようか,JLPT N5
538,洋服,Western-style clothes,ようふく,JLPT N5
539,横,beside; side; width,よこ,JLPT N5
540,四日,four days; fourth day of the month,よっか,JLPT N5
541,四つ,four things,よっつ,JLPT N5
542,呼ぶ,to call (one's name); to invite,よぶ,JLPT N5
543,読む,to read,よむ,JLPT N5
544,夜,"evening, night",よる,JLPT N5
545,弱い,weak,よわい,JLPT N5
546,来月,next month,らいげつ,JLPT N5
547,来週,next week,らいしゅう,JLPT N5
548,来年,next year,らいねん,JLPT N5
